business_name,author_name,review_text,rating,cleaned_text,sentiment,subjectivity,lang,review_length,exclaim_count,caps_count,contains_url,duplicate_flag
0x4cca77a741b1d869:0x393441683af97683,Joseph Murphy,"Food wasn't quite worth the price. Not a bad place, but I think they are trying to hard to stretch into ""fancy"" when they're really just casual family dining.",3,"Food wasn't quite worth the price. Not a bad place, but I think they are trying to hard to stretch into ""fancy"" when they're really just casual family dining.",0.01,0.47,en,29,0,0,False,False
0x4cc9f62853d38ccb:0xe2dd99f75f0d1b61,Lawrencebrian Sanborn,It's a very good store would recommend it too everyone,5,It's a very good store would recommend it too everyone,0.91,0.78,en,10,0,0,False,False
0x89e02489db9bea27:0xc361ff936d581423,Jason MOWREY,Shirt and pants had wrinkles after being pressed,2,Shirt and pants had wrinkles after being pressed,0.0,0.0,en,8,0,0,False,False
0x4cca798474a4f62d:0xffd10c2c2ed7d205,Steve Milizia,Our new favorite place! Something for each of the family. Love knowing that much of the food is locally sourced. Always a good meal!,5,Our new favorite place! Something for each of the family. Love knowing that much of the food is locally sourced. Always a good meal!,0.39,0.48,en,24,2,0,False,False
0x4cca791b143ecd89:0x26ff4842e305c718,Vicki Matthews,"Tuesday,  Thursday and Friday breads, rolls, bagels and English muffins are .99¢ each.
Military discount 15% on Monday. Senior
(55 yrs.) discount 10%  on Wednesday",5,"Tuesday, Thursday and Friday breads, rolls, bagels and English muffins are .99¢ each. Military discount 15% on Monday. Senior (55 yrs.) discount 10% on Wednesday",-0.05,0.05,en,25,0,0,False,False
0x4cca799e4c85b0e1:0x937a8e9e0d9fe007,Bert Munger,My only complaint is that they are so busy.,5,My only complaint is that they are so busy.,-0.07,0.5,en,9,0,0,False,False
0x4cca6e4e666ac03b:0x7f19b3777cef9860,Heather Kenyon-Haff,A natural beach area which is a local favorite. Has only porta potty for bathroom facilities. A bit of walk to get to beach. Free parking.,5,A natural beach area which is a local favorite. Has only porta potty for bathroom facilities. A bit of walk to get to beach. Free parking.,0.2,0.64,en,26,0,0,False,False
0x4cb5eac0e38507c3:0x2e155159741c723d,Jon Allard,"It's dunkin, about what I expect but not better than I expect.",4,"It's dunkin, about what I expect but not better than I expect.",-0.25,0.5,en,12,0,0,False,False
0x4cca773c1b615a11:0xe42d201ac36f6d0a,Richard Laws,"Bravo! What a wonderful evening. I would like to thank the staff for being very attentive but not over attentive. The atmosphere is nice, the food was wonderful and I would definitely go back again, soon. The prices we're very fair. Their dessert selection was really ""sweet"". Have you ever had Flan Cake before? Well, if not you should! 👍👍",5,"Bravo! What a wonderful evening. I would like to thank the staff for being very attentive but not over attentive. The atmosphere is nice, the food was wonderful and I would definitely go back again, soon. The prices we're very fair. Their dessert selection was really ""sweet"". Have you ever had Flan Cake before? Well, if not you should! 👍👍",0.61,0.82,en,60,2,0,False,False
0x4cca7af71c254739:0x61940ab7695123d9,Eddie Sacks,Good service great great food... Always good bet for meals.,4,Good service great great food... Always good bet for meals.,0.75,0.68,en,10,0,0,False,False
