business_name,author_name,review_text,rating,sentimentNum,subjectivity,lang,review_length,exclaim_count,caps_count,contains_url,sentiment,spam,irrelevant,rant,policy_violations,reason
Sardalye,Guney Gecer,I went to there with my girl friend; I liked fishes but she did not like because fishes are a little bit oily.,4,0.21,0.65,en,23,0,0,False,Neutral,0,0,0,0,"The review is a brief, subjective opinion about the food quality (fish being oily). It doesn’t exhibit characteristics of spam, advertising, or a review from someone who hasn't visited the location. The sentiment score of 0.21 also aligns with a mildly negative opinion."
Duveroglu,Can Akkaynak,Good in general. Quality for Kızılay and its surroundings. Lahmacun doesn't taste old...,4,0.28,0.43,en,13,0,0,False,Neutral,0,0,0,0,"The review expresses a generally positive opinion about the quality of food in Kızılay, focusing on the taste of the Lahmacun. It does not contain any inappropriate language, promotional content, or express an unreasonable or excessive complaint. The sentiment score (0.28) suggests a mildly positive, but genuine, review."
Pecko Firin Atakum,Burhan Arslan,My first stop for breakfast in Atakum is a place with quality service and friendly face.,5,0.31,0.42,en,16,0,0,False,Neutral,0,0,0,0,"The review is a short, positive statement about service and friendliness, typical of a genuine customer review. It doesn't exhibit spam, advertising, or rant characteristics. It is relevant to the provided data."
Asucan Restaurant,Kjiong Son,Place was not clear.,3,-0.05,0.38,en,4,0,0,False,Neutral,0,0,1,1,"The review is a short, negative statement (""Place was not clear."") without specific details or context. It reads like a frustrated rant from a user who likely hasn't fully experienced the location and is expressing a general dissatisfaction. The subjectivity score (0.38) supports this interpretation."
Tuana Restaurant,Ahmet Ekim,DEFINITELY DO NOT COME. We came here for breakfast based on the reviews on the way. We said the breakfast called the village breakfast for 2 people. First of all; the employee greeted us disrespectfully; a thousand pieces falling off his face; reluctant movements etc. It didn't taste good either!,1,0.38,0.48,en,50,1,4,False,Neutral,0,0,1,1,"The review expresses extreme negativity and detailed, subjective observations (disrespectful greeting, appearance of the employee, poor taste) suggesting a highly emotional and potentially unverified rant rather than a constructive review. The use of phrases like “DEFINITELY DO NOT COME” and the excessive detail point to a personal frustration and a lack of objective assessment. The rating of 1 further underscores the negative sentiment."
Umut Pide,Engin Demirci,The attitude of the waiters towards the customer was cold.,1,-0.6,1.0,en,10,0,0,False,Neutral,0,0,1,1,"The review expresses a negative opinion about customer service (""cold attitude of the waiters"") which, combined with the low rating (1/5) and the provided metadata (author name, photo), strongly suggests a disgruntled customer who likely hasn't actually visited the location, fitting the profile of a ranting user."
My Friends Burger,Nilufer Yilmaz,The menu content is beautifully varied and satisfying.,5,0.68,1.0,en,8,0,0,False,Neutral,0,0,0,0,"The review is a positive and straightforward comment about the menu, aligning with the provided data and showing a positive sentiment. There is no indication of spam, advertisement, irrelevant content, or a rant."
Kruvasan,Beste Yalcin,I ate a lot of croissants; but this was the best quality beautiful croissant I've ever eaten in my life. Crispy on the outside; with lots of butter on the inside; the smell was amazing.,4,0.61,0.56,en,35,0,0,False,Neutral,0,0,0,0,"The review expresses a very strong, subjective opinion (""best quality beautiful croissant I've ever eaten"") without concrete details or observations about the location itself. While the sentiment is positive (0.61), the language leans heavily toward hyperbole, suggesting it's more of an enthusiastic personal experience rather than a helpful review for potential customers. There's no mention of the atmosphere, service, or anything related to the business itself, making it a potentially unreliable review."
Mevlana Lokantasi,Janna Asueva,Good place. Meals were good. Service is also good. There is parking in front for cars.,4,0.7,0.6,en,16,0,0,False,Neutral,0,0,0,0,"This review is a standard, positive feedback comment. It expresses general satisfaction with the food, service, and parking, which is typical of genuine customer feedback. There are no indicators of spam, advertising, irrelevant content, or a rant."
Mcdonalds Fethiye,Di Nessa,The menu is incomplete; not much; usually a disaster with happy sweet toys; felt-tip pens and a few cardboard coloring pages.,3,0.27,0.5,en,21,0,0,False,Neutral,1,1,1,1,"The review describes a situation (happy sweet toys, coloring pages) highly unlikely to occur at a McDonald's restaurant. The description is overly specific and lacks any genuine feedback about the food or service, strongly suggesting it’s a rant or a fabricated review. The author's name is also unusual for a typical McDonald's review."
Miss Pizza,Selcuk Uras,Best pizza in the area; very crowded in weekends.,5,0.6,0.3,en,9,0,0,False,Neutral,0,0,0,0,"This review is a straightforward positive statement about the pizza and mentions crowding, which is a common and valid observation. The provided sentiment score (0.6) indicates a generally positive tone. There’s no indication of spam, advertisement, or irrelevant content."
Gold Semaver,Mehmet Mercan,They have a problem with the service; but if you're going to drink tea; they do it well. Your tea is always hot over the fire.,3,0.25,0.85,en,26,0,0,False,Neutral,0,0,0,0,"The review expresses a negative sentiment (""They have a problem with the service"") alongside a positive observation about the tea itself. The sentiment score (0.25) indicates a mixed feeling. The review is relevant to a tea house and provides specific details about the tea preparation. No violations are present."
Kumrucu Omur,Ali Marangozoglu,I ate the best dove I've ever eaten here. Everyone should come!!,5,1.0,0.3,en,12,2,0,False,Neutral,0,0,0,0,"The review is overly enthusiastic and hyperbolic (""best dove I've ever eaten""). While subjective, it doesn't contain inappropriate language, malicious intent, or promotional content. The high rating (5) and exclamation marks further suggest a genuine, albeit enthusiastic, opinion."
