business_name,author_name,review_text,rating,sentimentNum,subjectivity,lang,review_length,exclaim_count,caps_count,contains_url,inauthentic,irrelevant,advertisement,rant,policy_violations,reason
Sardalye,Guney Gecer,I went to there with my girl friend; I liked fishes but she did not like because fishes are a little bit oily.,4,0.21,0.65,en,23,0,0,False,0,0,0,0,0,"The review expresses a personal opinion with a somewhat specific detail (fish being oily). The sentiment is relatively low (0.21), but not overwhelmingly negative. The subjective rating (0.65) suggests it's a personal perspective rather than a generic advertisement. There are no strong indicators of inauthenticity, irrelevant content, advertisement language, or a rant."
Duveroglu,Can Akkaynak,Good in general. Quality for Kızılay and its surroundings. Lahmacun doesn't taste old...,4,0.28,0.43,en,13,0,0,False,0,0,0,0,0,"The review is relatively short and uses generally positive language (""Good in general. Quality for Kızılay and its surroundings. Lahmacun doesn't taste old...""). The sentiment score of 0.28 indicates a slightly positive sentiment, but not a strong endorsement. There’s no evidence of inauthentic behavior or deceptive intent. The review is relevant to the location and doesn't contain promotional language or URLs."
Pecko Firin Atakum,Burhan Arslan,My first stop for breakfast in Atakum is a place with quality service and friendly face.,5,0.31,0.42,en,16,0,0,False,0,0,0,0,0,"The review is a short, positive statement about a business. The sentiment (0.31) is mildly positive, the subjectivity is moderate (0.42), and the review length is relatively short (16). There are no indicators of inauthenticity based on these features alone.  The language is straightforward and lacks overly generic phrases typical of inauthentic reviews."
Asucan Restaurant,Kjiong Son,Place was not clear.,3,-0.05,0.38,en,4,0,0,False,0,0,0,0,0,"The review text ""Place was not clear."" is a very brief and vague statement. While the sentiment is slightly negative (-0.05), it lacks specific details or a strong emotional tone. The subjective rating of 0.38 suggests a somewhat personal opinion, but doesn't point to any deceptive intent or unusual characteristics. There is no indication of an advertisement (no URL), or a rant. Therefore, it's unlikely to be inauthentic."
Tuana Restaurant,Ahmet Ekim,DEFINITELY DO NOT COME. We came here for breakfast based on the reviews on the way. We said the breakfast called the village breakfast for 2 people. First of all; the employee greeted us disrespectfully; a thousand pieces falling off his face; reluctant movements etc. It didn't taste good either!,1,0.38,0.48,en,50,1,4,False,1,0,0,1,0,"This review exhibits several characteristics indicative of a rant. The sentiment score is very low (-0.38), the subjectivity score is high (0.48), and there are a large number of fully capitalised words (4) and exclamation marks (1). Furthermore, the review expresses extreme dissatisfaction with the service and food, using dramatic language (""a thousand pieces falling off his face,"" ""DEFINITELY DO NOT COME""). While not necessarily fraudulent, the combination of these factors suggests an overly emotional and potentially exaggerated negative experience.  It leans heavily towards a rant rather than a factual, objective review."
Umut Pide,Engin Demirci,The attitude of the waiters towards the customer was cold.,1,-0.6,1.0,en,10,0,0,False,0,0,0,0,0,"The review expresses a negative sentiment (-0.6) and indicates a subjective opinion (""The attitude of the waiters...was cold.""). While the sentiment is negative, there isn't enough evidence to classify it as a rant or advertisement. The review text is relatively straightforward and provides a specific complaint. There are no indicators of inauthenticity present, such as overly generic language, excessive capitalization, or URL inclusion."
My Friends Burger,Nilufer Yilmaz,The menu content is beautifully varied and satisfying.,5,0.68,1.0,en,8,0,0,False,0,0,0,0,0,"The review provides a positive sentiment (0.68) and describes the menu content as ""beautifully varied and satisfying."" The language is relatively detailed and specific, suggesting a genuine customer experience. There are no strong indicators of inauthenticity, irrelevant content, advertisement, or ranting. The review length (8) is also within a reasonable range for a genuine review."
Kruvasan,Beste Yalcin,I ate a lot of croissants; but this was the best quality beautiful croissant I've ever eaten in my life. Crispy on the outside; with lots of butter on the inside; the smell was amazing.,4,0.61,0.56,en,35,0,0,False,0,0,0,0,0,"This review is a highly positive and detailed account of a customer's experience with croissants. The sentiment score of 0.61 indicates a generally positive experience, and the review text provides specific details about the quality (""crispy on the outside; with lots of butter on the inside""). There's no evidence of inauthentic intent, advertising language, or an overly emotional rant. The review length is also reasonable."
Mevlana Lokantasi,Janna Asueva,Good place. Meals were good. Service is also good. There is parking in front for cars.,4,0.7,0.6,en,16,0,0,False,0,0,0,0,0,"The review is a relatively short, positive review with generally positive sentiment (0.7) and moderate subjectivity (0.6). While somewhat generic (""Good place. Meals were good.""), it doesn't exhibit strong indicators of inauthenticity, irrelevant content, advertising, or a rant. The presence of parking information is relevant and doesn't raise concerns."
Mcdonalds Fethiye,Di Nessa,The menu is incomplete; not much; usually a disaster with happy sweet toys; felt-tip pens and a few cardboard coloring pages.,3,0.27,0.5,en,21,0,0,False,1,0,0,1,0,"This review exhibits several characteristics indicative of a rant. Firstly, the sentiment score is very low (-0.27), suggesting a strongly negative experience. Secondly, the review text describes a situation (“disaster with happy sweet toys; felt-tip pens and a few cardboard coloring pages.”) that is highly unusual and subjective, suggesting an emotional reaction rather than a factual description. The combination of a low sentiment score and a highly descriptive, and frankly bizarre, complaint points towards an overly critical rant."
Miss Pizza,Selcuk Uras,Best pizza in the area; very crowded in weekends.,5,0.6,0.3,en,9,0,0,False,0,0,0,0,0,"The review is a simple positive statement (""Best pizza in the area; very crowded in weekends."") with a 5-star rating. The sentiment is positive (0.6), the subjectivity is moderate (0.3), and the length is short (9). There's no indication of inauthenticity, advertisement, or ranting."
Gold Semaver,Mehmet Mercan,They have a problem with the service; but if you're going to drink tea; they do it well. Your tea is always hot over the fire.,3,0.25,0.85,en,26,0,0,False,0,0,0,0,0,"This review is a relatively short, descriptive comment about the tea service at the business. The sentiment is quite low (-0.25) but the language is specific (""Your tea is always hot over the fire"") rather than generic praise. There are no strong indicators of inauthenticity, advertisement, or a rant. The review appears genuine and provides a useful detail about the business."
Kumrucu Omur,Ali Marangozoglu,I ate the best dove I've ever eaten here. Everyone should come!!,5,1.0,0.3,en,12,2,0,False,0,0,0,0,0,"The review is overwhelmingly positive (""best dove I've ever eaten"") with a sentiment of 1.0 and subjectivity of 0.3, indicating a genuine, albeit enthusiastic, customer experience. There are no strong indicators of inauthenticity, irrelevant content, advertisement, or a rant. The review text is descriptive and provides a specific detail (the dove) that supports its authenticity."
Backyard,Ece Oztunc,We went for both breakfast and dinner. First of all; it has a very nice environment. When we went for breakfast; we sat inside and one can sit for hours. Its decoration; quiet and nice; being in the trees is very nice. Especially having an open kitchen adds a positive score to the customer.,4,0.33,0.71,en,54,0,0,False,0,0,0,0,0,"The review is relatively detailed and provides specific observations about the environment (""very nice environment,"" ""one can sit for hours,"" ""being in the trees is very nice,"" ""open kitchen""). The sentiment is positive (0.33), the subjectivity is moderate (0.71), and the length is reasonable (54). There are no strong indicators of inauthenticity, irrelevant content, or a rant. The review appears to be a genuine customer experience."
Churchill Bistro,Ali Suca,Seaside; pleasant place; mediocre food; owners concerned.,4,0.12,0.98,en,7,0,0,False,0,0,0,0,0,"The review is relatively short and uses generic positive language (""pleasant place,"" ""mediocre food""). The sentiment is quite low at 0.12, suggesting a slightly negative experience, but doesn't contain any overtly angry or hyperbolic language. The indicators (length, sentiment, language) don’t strongly suggest inauthenticity."
