business_name,author_name,review_text,rating,sentimentNum,subjectivity,lang,review_length,exclaim_count,caps_count,contains_url,inauthentic,irrelevant,advertisement,rant,policy_violations,reason
Sardalye,Guney Gecer,I went to there with my girl friend; I liked fishes but she did not like because fishes are a little bit oily.,4,0.21,0.65,en,23,0,0,False,0,0,0,0,0,"The review expresses a personal opinion with a specific detail (""fishes are a little bit oily"") and a moderate sentiment score (0.21). The review length (23) is reasonable, and there are no strong indicators of inauthenticity, advertisement, or ranting. The sentiment is relatively low, suggesting a mildly negative experience, which is consistent with a genuine customer review."
Duveroglu,Can Akkaynak,Good in general. Quality for Kızılay and its surroundings. Lahmacun doesn't taste old...,4,0.28,0.43,en,13,0,0,False,0,0,0,0,0,"The review is relatively short and uses general positive language (""Good in general,"" ""Quality...Lahmacun doesn't taste old...""). While the sentiment is slightly positive (0.28), it lacks specific details or strong emotions, making it unlikely to be inauthentic. The review appears to be a genuine customer opinion. There are no indicators of advertising, irrelevant content, or an overly critical rant."
Pecko Firin Atakum,Burhan Arslan,My first stop for breakfast in Atakum is a place with quality service and friendly face.,5,0.31,0.42,en,16,0,0,False,0,0,0,0,0,"This review is a simple, positive testimonial with a sentiment score of 0.31, indicating a generally positive feeling but not an extreme one. The language is straightforward and lacks specifics. The review length is adequate, and there are no indicators of manipulation or deceptive intent. There are no URLs, excessive capitalization, or exclamation marks to suggest an advertisement or rant."
Asucan Restaurant,Kjiong Son,Place was not clear.,3,-0.05,0.38,en,4,0,0,False,0,0,0,0,0,"The review states ""Place was not clear."" with a rating of 3. This is a relatively mild and specific negative comment. The sentiment is slightly negative (-0.05), but doesn't exhibit strong emotional language or excessive capitalization that would indicate a rant or advertisement. The review length (4) is also acceptable. There is no indication of deception or an attempt to manipulate ratings."
Tuana Restaurant,Ahmet Ekim,DEFINITELY DO NOT COME. We came here for breakfast based on the reviews on the way. We said the breakfast called the village breakfast for 2 people. First of all; the employee greeted us disrespectfully; a thousand pieces falling off his face; reluctant movements etc. It didn't taste good either!,1,0.38,0.48,en,50,1,4,False,1,0,0,1,0,"This review exhibits several characteristics indicative of a rant. The sentiment score of 0.38 is relatively low, but combined with the high number of all-caps words (4) and exclamation marks (1), it clearly expresses strong negative emotion. Furthermore, the review text is highly subjective and contains overly dramatic descriptions (""a thousand pieces falling off his face; reluctant movements""). While not definitively fake, it reads like a passionate, potentially exaggerated complaint, leaning towards a rant rather than a measured evaluation."
Umut Pide,Engin Demirci,The attitude of the waiters towards the customer was cold.,1,-0.6,1.0,en,10,0,0,False,0,0,0,0,0,"The review expresses a negative sentiment (-0.6) regarding the waiter's attitude, but the detail is relatively specific (""cold attitude""). The subjectivity is high (1.0), indicating a personal opinion. While the rating is low (1), it doesn’t exhibit the generic language or excessive emotion typically associated with inauthentic or ranted reviews. There is no evidence of URL, excessive capitalization, or overly enthusiastic language."
My Friends Burger,Nilufer Yilmaz,The menu content is beautifully varied and satisfying.,5,0.68,1.0,en,8,0,0,False,0,0,0,0,0,"The review is a positive one with a high sentiment score (0.68) and a 5-star rating. The text ""The menu content is beautifully varied and satisfying"" is a relatively generic positive comment and doesn’t exhibit characteristics of an inauthentic review, advertisement, or rant. There are no obvious red flags based on the provided data."
Kruvasan,Beste Yalcin,I ate a lot of croissants; but this was the best quality beautiful croissant I've ever eaten in my life. Crispy on the outside; with lots of butter on the inside; the smell was amazing.,4,0.61,0.56,en,35,0,0,False,0,0,0,0,0,"The review expresses a very positive opinion about the croissants, detailing specific qualities (crispy, buttery, smell). The sentiment is positive (0.61) and the review length is reasonable. There are no strong indicators of inauthenticity, irrelevant content, an advertisement, or a rant. The review is a genuine, albeit enthusiastic, customer comment."
Mevlana Lokantasi,Janna Asueva,Good place. Meals were good. Service is also good. There is parking in front for cars.,4,0.7,0.6,en,16,0,0,False,0,0,0,0,0,"The review is a relatively short, positive comment (""Good place. Meals were good. Service is also good. There is parking in front for cars."") with a sentiment of 0.7 and subjectivity of 0.6. While somewhat generic, it doesn't exhibit strong indicators of inauthenticity like overly high ratings, promotional language, or excessive capitalization. There are no URLs, and the sentiment is positive, suggesting a genuine customer experience."
Mcdonalds Fethiye,Di Nessa,The menu is incomplete; not much; usually a disaster with happy sweet toys; felt-tip pens and a few cardboard coloring pages.,3,0.27,0.5,en,21,0,0,False,0,0,0,0,0,"The review expresses a negative opinion about the offerings (incomplete menu, toys, coloring pages) but lacks specific details or strong emotional language that would classify it as a rant. The sentiment score of 0.27 indicates a mildly negative opinion, and the review length (21) is reasonable. There are no indicators of an advertisement or inauthenticity present."
